,Bhagath Varma,,,,,,,Open,bhagath-varma,19253
,Mitchell Santner,,,,,,,Open,mitchell-santner,10100
,N Jagadeesan,,,,,,,Open,n-jagadeesan,11675
,Km Asif,,,,,,,Open,km-asif,13483
,Tushar Deshpande,,,,,,,Open,tushar-deshpande,11307
,Maheesh Theekshana,,,,,,,Open,maheesh-theekshana,18504
,Simarjeet Singh,,,,,,,Open,simarjeet-singh,14163
,Chris Jordan,,,,,,,Open,chris-jordan,6532
,Mukesh Choudhary,,,,,,,Open,mukesh-choudhary,13184
,Prashant Solanki,,,,,,,Open,prashant-solanki,12805
,Rajvardhan Hangargekar,,,,,,,Open,rajvardhan-hangargekar,14599
,Aman Hakim Khan,,,,,,,Open,aman-hakim-khan,19473
,Baba Indrajith,,,,,,,Open,baba-indrajith,9624
,Pratham Singh,,,,,,,Open,pratham-singh,12640
,Ajinkya Rahane,,,,,,,Open,ajinkya-rahane,1447
,Ramesh Kumar,,,,,,,Open,ramesh-kumar,24281
,Rinku Singh,,,,,,,Open,rinku-singh,10896
,Abhijeet Tomar,,,,,,,Open,abhijeet-tomar,12813
,Anukul Roy,,,,,,,Open,anukul-roy,12344
,Mohammad Nabi,,,,,,,Open,mohammad-nabi,3007
,Shivam Mavi,,,,,,,Open,shivam-mavi,12345
,Sheldon Jackson,,,,,,,Open,sheldon-jackson,8846
,Ashok Sharma,,,,,,,Open,ashok-sharma,24261
,Chamika Karunaratne,,,,,,,Open,chamika-karunaratne,9500
,Rasikh Salam,,,,,,,Open,rasikh-salam,14274
,Tim Southee,,,,,,,Open,tim-southee,1057
,Umesh Yadav,,,,,,,Open,umesh-yadav,1858
,Ashwin Hebbar,,,,,,,Open,ashwin-hebbar,10254
,Mandeep Singh,,,,,,,Open,mandeep-singh,6319
,Rovman Powell,,,,,,,Open,rovman-powell,11445
,Lalit Yadav,,,,,,,Open,lalit-yadav,13252
,Ripal Patel,,,,,,,Open,ripal-patel,15516
,Srikar Bharat,,,,,,,Open,srikar-bharat,9025
,Tim Seifert,,,,,,,Open,tim-seifert,9443
,Vicky Ostwal,,,,,,,Open,vicky-ostwal,22616
,Anrich Nortje,,,,,,,Open,anrich-nortje,11427
,Kamlesh Nagarkoti,,,,,,,Open,kamlesh-nagarkoti,12092
,Lungi Ngidi,,,,,,,Open,lungi-ngidi,9603
,Khaleel Ahmed,,,,,,,Open,khaleel-ahmed,10952
,Praveen Dubey,,,,,,,Open,praveen-dubey,10484
,Ramandeep Singh,,,,,,,Open,ramandeep-singh,12337
,Anmolpreet Singh,,,,,,,Open,anmolpreet-singh,10947
,Rahul Buddhi,,,,,,,Open,rahul-buddhi,16584
,Fabian Allen,,,,,,,Open,fabian-allen,9785
,Hrithik Shokeen,,,,,,,Open,hrithik-shokeen,14595
,Arjun Tendulkar,,,,,,,Open,arjun-tendulkar,13747
,Sanjay Yadav,,,,,,,Open,sanjay-yadav,11631
,Aryan Juyal,,,,,,,Open,aryan-juyal,13388
,Arshad Khan,,,,,,,Open,arshad-khan,18637
,Jaydev Unadkat,,,,,,,Open,jaydev-unadkat,6327
,Tymal Mills,,,,,,,Open,tymal-mills,7860
,Riley Meredith,,,,,,,Open,riley-meredith,12226
,Murugan Ashwin,,,,,,,Open,murugan-ashwin,8796
,Basil Thampi,,,,,,,Open,basil-thampi,10267
,Prerak Mankad,,,,,,,Open,prerak-mankad,11054
,Bhanuka Rajapaksa,,,,,,,Open,bhanuka-rajapaksa,7869
,Atharva Taide,,,,,,,Open,atharva-taide,13914
,Benny Howell,,,,,,,Open,benny-howell,6641
,Baltej Singh,,,,,,,Open,baltej-singh,8962
,Ansh Patel,,,,,,,Open,ansh-patel,19262
,Prabhsimran Singh,,,,,,,Open,prabhsimran-singh,14254
,Jitesh Sharma,,,,,,,Open,jitesh-sharma,10214
,Writtick Chatterjee,,,,,,,Open,writtick-chatterjee,9717
,Odean Smith,,,,,,,Open,odean-smith,11215
,Sandeep Sharma,,,,,,,Open,sandeep-sharma,8356
,Raj Bawa,,,,,,,Open,raj-bawa,22601
,Nathan Ellis,,,,,,,Open,nathan-ellis,15480
,Vaibhav Arora,,,,,,,Open,vaibhav-arora,15861
,Ishan Porel,,,,,,,Open,ishan-porel,11404
,Suyash Prabhudessai,,,,,,,Open,suyash-prabhudessai,12669
,Sherfane Rutherford,,,,,,,Open,sherfane-rutherford,13748
,Aneeshwar Gautam,,,,,,,Open,aneeshwar-gautam,22586
,David Willey,,,,,,,Open,david-willey,6592
,Anuj Rawat,,,,,,,Open,anuj-rawat,13135
,Finn Allen,,,,,,,Open,finn-allen,11172
,Luvnith Sisodia,,,,,,,Open,luvnith-sisodia,13972
,Akash Deep,,,,,,,Open,akash-deep,14726
,Jason Behrendorff,,,,,,,Open,jason-behrendorff,7773
,Chama V Milind,,,,,,,Open,chama-v-milind,9281
,Karn Sharma,,,,,,,Open,karn-sharma,1844
,Sai Sudharsan,,,,,,,Open,sai-sudharsan,13866
,Abhinav Manohar,,,,,,,Open,abhinav-manohar,10499
,David Miller,,,,,,,Open,david-miller,6349
,Gurkeerat Singh Mann,,,,,,,Open,gurkeerat-singh-mann,8298
,Vijay Shankar,,,,,,,Open,vijay-shankar,8204
,Rahmanullah Gurbaz,,,,,,,Open,rahmanullah-gurbaz,13213
