S. No.,Player,Team,Type,Role,Tier,Base Price,Winning Bid,Owner,,,,,,,,
111,Kyle Mayers,Lucknow Super Giants,O,All-Rounder,3,1,,,,,,,,,,
112,Karan Sharma,Lucknow Super Giants,I,All-Rounder,3,1,,,,,,,,,,
113,K Gowtham,Lucknow Super Giants,I,All-Rounder,3,1,1,Shekhar,,,,,,,,
114,Ayush Badoni,Lucknow Super Giants,I,All-Rounder,3,1,,,,,,,,,,
115,Deepak Hooda,Lucknow Super Giants,I,All-Rounder,2,2.5,,,,,,,,,,
116,Krunal Pandya,Lucknow Super Giants,I,All-Rounder,2,2.5,6,Sauri,,,,,,,,
117,Jason Holder,Lucknow Super Giants,O,All-Rounder,2,2.5,8,Sree,,,,,,,,
118,Rohit Sharma,Mumbai Indians,I,Batsman,1,5,9.5,Sauri,,,,,,,,
119,Suryakumar Yadav,Mumbai Indians,I,Batsman,1,5,12.5,Avadesh,,,,,,,,
120,Tilak Varma,Mumbai Indians,I,Batsman,3,1,3,Sree,,,,,,,,
121,Ramandeep Singh,Mumbai Indians,I,Batsman,3,1,,,,,,,,,,
122,Rahul Buddhi,Mumbai Indians,I,Batsman,3,1,,,,,,,,,,
123,Anmolpreet Singh,Mumbai Indians,I,Batsman,3,1,,,,,,,,,,
124,Dewald Brevis,Mumbai Indians,O,Batsman,3,1,1,Ram,,,,,,,,
125,Aryan Juyal,Mumbai Indians,I,WK,3,1,,,,,,,,,,
126,Ishan Kishan,Mumbai Indians,I,WK,1,5,12.5,Sree,,,,,,,,
127,Jasprit Bumrah,Mumbai Indians,I,Bowler,1,5,9.5,Shekhar,,,,,,,,
128,Mohammad Arshad Khan,Mumbai Indians,I,Bowler,3,1,,,,,,,,,,
129,Jaydev Unadkat,Mumbai Indians,I,Bowler,2,2.5,,,,,,,,,,
130,Mayank Markande,Mumbai Indians,I,Bowler,2,2.5,2.5,Pranav,,,,,,,,
131,Jofra Archer,Mumbai Indians,O,Bowler,2,2.5,,,,,,,,,,
